match_id,season_name,match_date,team_id,team_name,is_home,statistic_type,statistic_location,value,team_folder,form_value,team_strength,team_strength_normalized,home_advantage,match_day_of_week,match_month,match_is_weekend,tournament_type,matchday,tournament_phase,tournament_progress,detailed_phase
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals Conceded_average,away,1.5,Necaxa,16.310000000000002,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals Conceded_average,away,1.5,Necaxa,1.4266666666666692,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals Conceded_first,away,47.0,Necaxa,,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals_count,all,30.0,Necaxa,,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals_average,all,0.86,Necaxa,1.2366666666666692,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals_average,all,0.86,Necaxa,1.1000000000000025,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals_average,all,0.86,Necaxa,0.8600000000000024,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,False,Goals_first,all,49.0,Necaxa,,450.024,0.06371349322891184,0,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,True,Goals_count,home,16.0,Necaxa,,450.024,0.06371349322891184,1,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
team_stat_3951_17191,2020-2021,2025-04-24 23:16:10.523959,3951,Necaxa,True,Goals_percentage,home,53.33,Necaxa,,450.024,0.06371349322891184,1,3,4,0,Clausura,8.0,regular_season,0.47058823529411764,mid
