player_id,player_name,season_id,season_name,team_id,team_name,position,jersey_number,appearances,minutes_played,goals,assists,shots_total,shots_on_target,passes_total,passes_accuracy,tackles,interceptions
18209129,Agustín Oliveros,21623,2023/2024,3951,Necaxa,25,3,26,2168,41,1,9,0,67.83,0,23,20
18209129,Agustín Oliveros,19684,2022/2023,3951,Necaxa,25,3,35,2997,50,1,8,0,74.65,0,48,40
18209129,Agustín Oliveros,18469,2021/2022,3951,Necaxa,25,3,22,1987,34,0,10,0,80.05,0,15,22
37599574,Emiliano Perez,18469,2021/2022,3951,Necaxa,24,181,0,0,2,0,0,0,0.0,0,0,0
37685611,Arath Moreno Martinez,21623,2023/2024,3951,Necaxa,26,197,1,41,1,0,0,0,62.5,0,1,0
37685611,Arath Moreno Martinez,19684,2022/2023,3951,Necaxa,26,254,0,0,1,0,0,0,0.0,0,0,0
37307785,Alejandro Andrade,23586,2024/2025,3951,Necaxa,26,13,14,512,14,0,2,0,82.25,0,13,3
37307785,Alejandro Andrade,21623,2023/2024,3951,Necaxa,26,13,22,908,20,0,7,0,70.91,0,29,9
37307785,Alejandro Andrade,19684,2022/2023,3951,Necaxa,26,13,1,66,1,0,2,0,90.0,0,4,0
37307785,Alejandro Andrade,18469,2021/2022,3951,Necaxa,26,194,0,0,5,0,0,0,0.0,0,0,0
37307785,Alejandro Andrade,17191,2020/2021,3951,Necaxa,26,194,12,558,24,0,2,0,79.53,0,15,2
12394619,Tomás Badaloni,23586,2024/2025,3951,Necaxa,27,9,27,914,26,0,2,0,70.59,0,6,3
444230,José Paradela,23586,2024/2025,3951,Necaxa,26,10,34,2894,49,12,1,0,73.16,0,65,19
444230,José Paradela,21623,2023/2024,3951,Necaxa,26,10,17,1432,27,4,3,0,70.48,0,25,8
37690674,Angel Chavez,23586,2024/2025,3951,Necaxa,25,188,1,5,0,0,0,0,66.67,0,0,0
