match_id,season_name,match_date,team_id,team_name,is_home,statistic_type,statistic_location,value
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Cleansheets_count,all,13.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Cleansheets_percentage,all,32.5
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Cleansheets_count,home,5.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Cleansheets_percentage,home,38.46
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Cleansheets_count,away,8.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Cleansheets_percentage,away,61.54
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Draws_count,all,11.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Draws_percentage,all,27.5
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Team Draws_count,home,7.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Team Draws_percentage,home,63.64
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Draws_count,away,4.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Draws_percentage,away,36.36
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals_count,all,46.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals_average,all,1.15
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals_first,all,36.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Goals_count,home,28.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Goals_percentage,home,60.87
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Goals_average,home,1.4
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Goals_first,home,36.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals_count,away,18.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals_percentage,away,39.13
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals_average,away,0.9
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals_first,away,36.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Wins_count,all,16.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Wins_percentage,all,40.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Team Wins_count,home,8.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Team Wins_percentage,home,50.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Wins_count,away,8.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Team Wins_percentage,away,50.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals Conceded_count,all,45.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals Conceded_average,all,1.13
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,False,Goals Conceded_first,all,40.0
team_stat_10836_18469,2021-2022,2025-04-24T23:16:07.900503,10836,Leon,True,Goals Conceded_count,home,22.0
