feature,importance
team_name_,0.4587870232578138
detailed_phase_,0.24269305591338927
match_date_,0.1054363776588811
team_strength_,0.04601178994799556
is_home_,0.024058129007493743
match_id_,0.021911586058005438
Unknown,0.018133724437316225
season_name_,0.011826688331931868
Unknown,0.01153844008854725
Unknown,0.010546870901610658
Unknown,0.009426249957272086
tournament_phase_,0.007551795331446825
Unknown,0.005808796335507498
max_player_assists,0.005672969750644643
team_id_,0.004286632730903102
Unknown,0.00405941383066668
Unknown,0.00203824768891138
minutes_played_variation,0.00120448017038208
Unknown,0.0009644552448078646
Unknown,0.0008352305047904156
Unknown,0.0008105638047586808
Unknown,0.0007507752177669356
player_retention_rate,0.0007389002581907941
Unknown,0.0007200660734296557
Unknown,0.0005788918854263668
Unknown,0.00046672462259382444
Unknown,0.0004052347854815648
Unknown,0.000341427669849351
Unknown,0.000302895616671936
Unknown,0.00029971375081220094
Unknown,0.00023907422484222362
Unknown,0.00022661582019823732
Unknown,0.00022530145081163159
Unknown,0.00020908227203244152
goal_contribution_top5,0.00011878937137471225
Unknown,9.199217270342533e-05
Unknown,9.148503443552891e-05
Unknown,8.178460686482879e-05
Unknown,8.013877260493348e-05
Unknown,5.760725163552411e-05
Unknown,5.740138844855244e-05
Unknown,4.708773532199661e-05
avg_player_assists,4.656884278385067e-05
Unknown,4.559397774257271e-05
retained_goal_contribution,3.796579190957269e-05
Unknown,3.673738781447162e-05
value_Failed To Score_percentage,1.9589028933253957e-05
Unknown,1.953794089218846e-05
Unknown,1.6426737130553433e-05
form_value_Team Wins_percentage,1.5867113435936177e-05
Unknown,1.419426040600622e-05
Unknown,2.84900257266553e-06
Unknown,2.588345234945478e-06
Unknown,2.1681653296667362e-06
Unknown,1.9880153682033672e-06
value_Team Wins_percentage,1.9860358989054063e-06
players_min_5_appearances,1.6595506025009204e-06
avg_minutes_played,7.688693719849328e-07
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
form_value_Goals Conceded_average,0.0
form_value_Goals_average,0.0
value_Cleansheets_percentage,0.0
value_Goals Conceded_average,0.0
season_name,0.0
total_players,0.0
avg_player_goals,0.0
max_player_goals,0.0
total_goals_top5,0.0
player_continuity,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
Unknown,0.0
